mass	pressure	temperature	radius	density	specificenergy	dm
1.9252910751747572e+33	860.0160138010838	3417.5052449156296	69500430000.10088	1.8589509599104695e-09	694230271879.8246	0.0
1.9252910751747572e+33	13815.490496269798	6841.859197706047	69430860000.20175	1.491635671936314e-08	1389851786783.2007	2.9457119920964617e+22
1.9252910751453e+33	70221.94858940976	10273.08246621352	69361290000.30261	5.049433847425126e-08	2086868730976.692	1.277682656830991e+23
1.9252910750175318e+33	222828.68762459361	13711.195740874216	69291720000.40349	1.2005115876225952e-07	2785285307504.947	3.4432750109442774e+23
1.9252910746732043e+33	546205.6460508909	17156.219795045883	69222150000.50436	2.351825897093712e-07	3485105736257.259	7.267573429608764e+23
1.925291073946447e+33	1137176.704471145	20608.175485341282	69152580000.60524	4.0762329503061456e-07	4186334254035.3037	1.3228718515324346e+24
1.925291072623575e+33	2115259.5093660094	24067.083751958522	69083010000.70612	6.492482259241752e-07	4888975114620.242	2.1806775942827815e+24
1.9252910704428975e+33	3623111.91133349	27532.965619014918	69013440000.80698	9.720740309997223e-07	5593032588840.539	3.348374615403583e+24
1.925291067094523e+33	5826985.110935385	31005.84219488213	68943870000.90785	1.3882604803831364e-06	6298510964640.044	4.87435741102815e+24
1.9252910622201657e+33	8917183.606521059	34485.73467252046	68874300001.00873	1.9101119041409405e-06	7005414547145.899	6.807215910194171e+24
1.92529105541295e+33	13108532.039703866	37972.66432981887	68804730001.10959	2.5500786451703556e-06	7713747658737.614	9.195736461574008e+24
1.9252910462172134e+33	18640849.03547214	41466.652529931845	68735160001.21046	3.320758526700527e-06	8423514639115.495	1.2088902825964369e+25
1.9252910341283106e+33	25779428.135261595	44967.72072162038	68665590001.31134	4.23489833455391e-06	9134719845369.9	1.553589717457278e+25
1.9252910185924135e+33	34815525.922656454	48475.8904395915	68596020001.41222	5.305395314316407e-06	9847367652050.234	1.958610109308751e+25
1.9252909990063123e+33	46066857.44277954	51991.18330484363	68526450001.51308	6.545298683569243e-06	10561462451235.082	2.4289096591592342e+25
1.9252909747172157e+33	59878099.01778927	55513.62102500884	68456880001.61395	7.96781115933296e-06	11277008652601.75	2.969466712026831e+25
1.9252909450225487e+33	76621398.56234197	59043.225394698675	68387310001.71483	9.586290500879548e-06	11994010683496.502	3.585279859096409e+25
1.92529090916975e+33	96696893.5042904	62580.01829585132	68317740001.8157	1.1414251068068079e-05	12712472989005.111	4.28136804046149e+25
1.9252908663560696e+33	120533236.41732475	66124.02169807786	68248170001.91657	1.346536539536003e-05	13432400032023.154	5.062770648449386e+25
1.9252908157283631e+33	148588128.4737852	69675.25765901449	68178600002.01745	1.5753465781676937e-05	14153796293327.59	5.934547631542685e+25
1.9252907563828868e+33	181348860.8272714	73233.74832467141	68109030002.11832	1.829254589625636e-05	14876666271647.64	6.901779598878906e+25
1.9252906873650908e+33	219332864.03627208	76799.5159297855	68039460002.21919	2.109676240067202e-05	15601014483736.41	7.969567925348627e+25
1.9252906076694117e+33	263088265.6415213	80372.58279817432	67969890002.32005	2.418043658718124e-05	16326845464442.805	9.143034857282967e+25
1.9252905162390632e+33	313194456.0113099	83952.97134308907	67900320002.42093	2.7558056033562958e-05	17054163766783.242	1.0427323618727378e+26
1.925290411965827e+33	370262662.5706794	87540.70406757375	67830750002.521805	3.124427627462021e-05	17782973962014.598	1.1827598518327175e+26
1.925290293689842e+33	434936532.5318072	91135.80356482092	67761180002.62268	3.5253922490507745e-05	18513280639706.477	1.3349045056784446e+26
1.9252901601993914e+33	507892724.24471265	94738.29251853119	67691610002.72356	3.960199121206195e-05	19245088407814.266	1.499687003492869e+26
1.925290010230691e+33	589841507.2889394	98348.19370327414	67622040002.82442	4.430365204330373e-05	19978401892752.39	1.677630166238018e+26
1.9252898424676744e+33	681527371.4284939	101965.5299848482	67552470002.92529	4.93742494012857e-05	20713225739467.48	1.8692589666798923e+26
1.925289655541778e+33	783729644.5542194	105590.3243206468	67482900003.02616	5.482930427346887e-05	21449564611512.73	2.0751005403766578e+26
1.925289448031724e+33	897263119.7391167	109222.59976002095	67413330003.12704	6.068451599279465e-05	22187423191121.547	2.2956841967225257e+26
1.9252892184633043e+33	1022978691.5342239	112862.37944464586	67343760003.22791	6.695576403064131e-05	22926806179282.023	2.531541430054927e+26
1.9252889653091612e+33	1161764001.6342137	116509.68660888875	67274190003.32878	7.365910980784364e-05	23667718295811.664	2.7832059308211166e+26
1.9252886869885682e+33	1314544094.0435872	120164.54458017576	67204620003.42965	8.081079852395469e-05	24410164279431.902	3.0512135968030102e+26
1.9252883818672086e+33	1482282079.8765213	123826.97677936513	67135050003.530525	8.842726100494837e-05	25154148887843.945	3.3361025444079686e+26
1.9252880482569543e+33	1665979811.92461	127497.00672111688	67065480003.6314	9.652511556953266e-05	25899676897803.824	3.6384131200128616e+26
1.9252876844156423e+33	1866678569.129213	131174.6580142663	66995910003.73228	0.00010512116991427544	26646753105198.3	3.958687911374082e+26
1.925287288546851e+33	2085459751.0967004	134859.9543621991	66926340003.83314	0.00011423242301773133	27395382325121.055	4.297471759096637e+26
1.925286858799675e+33	2323445582.7966003	138552.9195632252	66856770003.93401	0.0001238760670637543	28145569391948.625	4.655311768161031e+26
1.9252863932684984e+33	2581799829.5853167	142253.57751095924	66787200004.03489	0.00013406948938421166	28897319159417.688	5.0327573195193055e+26
1.9252858899927665e+33	2861728522.6988873	145961.95219469708	66717630004.13576	0.00014483027442127055	29650636500701.57	5.430360081740925e+26
1.9252853469567584e+33	3164480695.3613434	149678.06769979675	66648060004.23663	0.00015617620570947547	30405526308487.625	5.8486740227278675e+26
1.9252847620893562e+33	3491349129.6566343	153401.9482080607	66578490004.3375	0.00016812526787781244	31161993495054.844	6.288255421488336e+26
1.925284133263814e+33	3843671114.313965	157133.61799811662	66508920004.43838	0.00018069564867195274	31920042992351.285	6.749662879967083e+26
1.9252834582975258e+33	4222829213.5594797	160873.10144580514	66439350004.53925	0.00019390574099690898	32679679752072.78	7.233457334949259e+26
1.9252827349517923e+33	4630252047.187637	164620.42302456385	66369780004.64013	0.00020777414498027633	33440908745740.934	7.740202070009205e+26
1.9252819609315853e+33	5067415082.009363	168375.6073058152	66300210004.74099	0.00022231967005629366	34203734964782.004	8.27046272753259e+26
1.9252811338853126e+33	5535841434.835332	172138.6789593561	66230640004.84186	0.00023756133707092926	34968163420605.91	8.824807320796225e+26
1.9252802514045805e+33	6037102687.154742	175909.66275374594	66161070004.94273	0.0002535183804081925	35734199144685.18	9.403806246103137e+26
1.9252793110239559e+33	6572819711.673509	179688.58355670163	66091500005.04361	0.00027021025013792085	36501847188635.14	1.0008032294996122e+27
1.9252783102207264e+33	7144663510.875795	183475.46633548898	66021930005.144485	0.0002876566141852187	37271112624293.46	1.0638060666510214e+27
1.9252772464146599e+33	7754356067.777181	187270.33615731774	65952360005.24536	0.00030587736052179793	38042000543800.29	1.1294468979503223e+27
1.925276116967762e+33	8403671209.039066	191073.21818973852	65882790005.34623	0.0003248925993794368	38814516059679.06	1.1977837285043092e+27
1.9252749191840335e+33	9094435480.615822	194884.13770103856	65813220005.44709	0.00034472266548576615	39588664304916.734	1.2688748078847892e+27
1.9252736503092255e+33	9828529036.11031	198703.1200606436	65743650005.547966	0.00036538812032264656	40364450433045.5	1.342778631381126e+27
1.925272307530594e+33	10607886538.013277	202530.19073951687	65674080005.64884	0.0003869097544073251	41141879618223.85	1.4195539412558163e+27
1.9252708879766527e+33	11434498072.006632	206365.37531056153	65604510005.74972	0.0004093085895966284	41920957055318.266	1.4992597280085418e+27
1.9252693887169246e+33	12310410074.51244	210208.6994490251	65534940005.850586	0.0004326058814144277	42701687959985.47	1.5819552316456604e+27
1.9252678067616928e+33	13237726273.67077	214060.18893290218	65465370005.95146	0.0004568231214025846	43484077568754.09	1.667699942954769e+27
1.9252661390617498e+33	14218608643.93531	217919.8696433444	65395800006.05233	0.0004819820394956752	44268131139108.09	1.7565536047885123e+27
