mass	pressure	temperature	radius	density	specificenergy	dm	h1	he3	he4	c12	n14	o16	ne20	mg24
1.9884105640262172e+33	897.8134149425512	3454.4513264757134	69500430000.10088	1.9198955287096724e-09	1347.258810462792	0.0	0.0	0	0.0	0	0	0	0	0
1.9884105640262172e+33	14422.676441500838	6915.825401069488	69430860000.20175	1.5405380339631456e-08	21642.66826811616	3.042285355803484e+22	2.281714016852613e+22	0	7.60571338950871e+21	0	0	0	0	0
1.9884105639957945e+33	73308.17851673218	10384.14305441155	69361290000.30261	5.214976443839959e-08	110006.25268220832	1.319570700282406e+23	9.896780252118046e+22	0	3.298926750706015e+22	0	0	0	0	0
1.9884105638638374e+33	232621.930025684	13859.425200618942	69291720000.40349	1.239869624829574e-07	349072.4681965414	3.556160673516672e+23	2.667120505137504e+23	0	8.89040168379168e+22	0	0	0	0	0
1.9884105635082214e+33	570211.1919688941	17341.692837626724	69222150000.50436	2.4289290688718843e-07	855658.9146685225	7.50583637383695e+23	5.629377280377712e+23	0	1.8764590934592373e+23	0	0	0	0	0
1.9884105627576378e+33	1187155.2204265113	20830.96704752504	69152580000.60524	4.2098697512971065e-07	1781445.1237720225	1.36624139505828e+24	1.02468104629371e+24	0	3.4156034876457e+23	0	0	0	0	0
1.9884105613913964e+33	2208224.420380216	24327.268996892995	69083010000.70612	6.705334314115227e-07	3313661.565222552	2.2521697737645092e+24	1.689127330323382e+24	0	5.630424434411273e+23	0	0	0	0	0
1.9884105591392265e+33	3782346.4047562783	27830.619937136154	69013440000.80698	1.003942882807967e-06	5675789.014977271	3.4581490266251734e+24	2.59361176996888e+24	0	8.645372566562934e+23	0	0	0	0	0
1.9884105556810773e+33	6083079.055872467	31341.04120482527	68943870000.90785	1.4337737500618586e-06	9128268.431242226	5.034160233692503e+24	3.7756201752693776e+24	0	1.2585400584231258e+24	0	0	0	0	0
1.988410550646917e+33	9309090.687806817	34858.55422203422	68874300001.00873	1.97273375316578e-06	13969221.48612291	7.030386315071269e+24	5.272789736303452e+24	0	1.7575965787678173e+24	0	0	0	0	0
1.988410543616531e+33	13684647.409568436	38383.180496683686	68804730001.10959	2.6336814118842485e-06	20535181.902798396	9.497213049998232e+24	7.122909787498674e+24	0	2.374303262499558e+24	0	0	0	0	0
1.9884105341193178e+33	19460107.79031463	41914.94162288168	68735160001.21046	3.429627561366071e-06	29201837.75014613	1.2485230101870202e+25	9.363922576402651e+24	0	3.1213075254675506e+24	0	0	0	0	0
1.9884105216340875e+33	26912424.929262556	45453.859281268175	68665590001.31134	4.373736883000762e-06	40384784.84885139	1.60452320492586e+25	1.203392403694395e+25	0	4.01130801231465e+24	0	0	0	0	0
1.9884105055888556e+33	36345656.03434315	48999.955239358336	68596020001.41222	5.4793294506724824e-06	54540291.44513534	2.022821942289716e+25	1.517116456717287e+25	0	5.05705485572429e+24	0	0	0	0	0
1.9884104853606362e+33	48091479.61509907	52553.25135189163	68526450001.51308	6.75988229256952e-06	72166074.31041768	2.5085399748706393e+25	1.8814049811529796e+25	0	6.271349937176598e+24	0	0	0	0	0
1.9884104602752364e+33	62509720.396745786	56113.76956117771	68456880001.61395	8.229030968704593e-06	93802086.42735672	3.0668188596793833e+25	2.3001141447595376e+25	0	7.667047149198458e+24	0	0	0	0	0
1.988410429607048e+33	79988882.06381889	59681.53189744605	68387310001.71483	9.900571164307126e-06	120031316.42496662	3.7028210636517074e+25	2.7771157977387806e+25	0	9.257052659129269e+24	0	0	0	0	0
1.9884103925788372e+33	100946687.9433051	63256.56047919685	68317740001.8157	1.1788460299247987e-05	151480599.92772362	4.42173006975848e+25	3.31629755231886e+25	0	1.10543251743962e+25	0	0	0	0	0
1.9884103483615365e+33	125830629.73865274	66838.87751355101	68248170001.91657	1.390681915365791e-05	188821442.9858223	5.228750483718343e+25	3.921562862788757e+25	0	1.3071876209295858e+25	0	0	0	0	0
1.9884102960740318e+33	155118524.4276477	70428.50529660613	68178600002.01745	1.626993350990767e-05	232770857.75612816	6.129108141326177e+25	4.596831105994633e+25	0	1.5322770353315443e+25	0	0	0	0	0
1.9884102347829502e+33	189319079.43859825	74025.4662137893	68109030002.11832	1.889225581111106e-05	284092210.60556054	7.128050216378728e+25	5.346037662284046e+25	0	1.782012554094682e+25	0	0	0	0	0
1.988410163502448e+33	228972466.22093955	77629.78274021343	68039460002.21919	2.178840683632196e-05	343596082.81114185	8.230845329218226e+25	6.173133996913669e+25	0	2.0577113323045565e+25	0	0	0	0	0
1.988410081193995e+33	274650902.3279185	81241.47744103514	67969890002.32005	2.4973177392593988e-05	412141144.03327453	9.442783655884935e+25	7.082087741913701e+25	0	2.3606959139712338e+25	0	0	0	0	0
1.9884099867661582e+33	326959242.1306079	84860.57297181156	67900320002.42093	2.8461530024071376e-05	490635038.74119025	1.0769177037874968e+26	8.076882778406226e+25	0	2.692294259468742e+25	0	0	0	0	0
1.988409879074388e+33	386535576.2842707	88487.09207886341	67830750002.521805	3.226860073829062e-05	580035285.7721766	1.2215359092529872e+26	9.161519319397404e+25	0	3.053839773132468e+25	0	0	0	0	0
1.988409756920797e+33	454051840.06954104	92121.05759963447	67761180002.62268	3.640970074985892e-05	681350191.2083533	1.3786685324016684e+26	1.0340013993012513e+26	0	3.446671331004171e+25	0	0	0	0	0
1.9884096190539437e+33	530214430.7327853	95762.49246305508	67691610002.72356	4.0900318241692233e-05	795639774.7576176	1.5488533234941492e+26	1.161639992620612e+26	0	3.872133308735373e+25	0	0	0	0	0
1.9884094641686114e+33	615764833.9516035	99411.41968990689	67622040002.82442	4.575612014398946e-05	924016709.8277761	1.7326302438575157e+26	1.2994726828931367e+26	0	4.331575609643789e+25	0	0	0	0	0
1.988409290905587e+33	711480259.5531222	103067.8623931867	67552470002.92529	5.0992953931119334e-05	1067647277.4854151	1.9305414771684057e+26	1.4479061078763043e+26	0	4.826353692921014e+25	0	0	0	0	0
1.9884090978514393e+33	818174286.6147184	106731.8437784765	67482900003.02616	5.662684943661173e-05	1227752334.4940464	2.1431314408014533e+26	1.60734858060109e+26	0	5.357828602003633e+25	0	0	0	0	0
1.9884088835382954e+33	936697518.0782017	110403.38714431002	67413330003.12704	6.267402068642428e-05	1405608295.6281493	2.3709467972351985e+26	1.778210097926399e+26	0	5.927366993087996e+25	0	0	0	0	0
1.9884086464436156e+33	1067938245.0106732	114082.51588254324	67343760003.22791	6.915086775067981e-05	1602548130.463016	2.6145364655234496e+26	1.9609023491425873e+26	0	6.536341163808624e+25	0	0	0	0	0
1.988408384989969e+33	1212823120.646899	117769.25347872628	67274190003.32878	7.607397861405915e-05	1819962374.8427365	2.8744516328279333e+26	2.15583872462095e+26	0	7.186129082069833e+25	0	0	0	0	0
1.9884080975448057e+33	1372317844.3498282	121463.62351247425	67204620003.42965	8.346013106503414e-05	2059300157.231352	3.1512457660111645e+26	2.3634343245083732e+26	0	7.878114415027911e+25	0	0	0	0	0
1.988407782420229e+33	1547427855.6281576	125165.64965784433	67135050003.530525	9.1326294604146e-05	2322070240.155613	3.445474623297377e+26	2.5841059674730326e+26	0	8.613686558243442e+25	0	0	0	0	0
1.9884074378727667e+33	1739199038.3510904	128875.35568370967	67065480003.6314	9.968963237150451e-05	2609842076.949646	3.757696265988503e+26	2.818272199491377e+26	0	9.394240664971257e+25	0	0	0	0	0
1.98840706210314e+33	1948718435.3030033	132592.76545413674	66995910003.73228	0.0001085675030937165	2924246884.0156865	4.088471070248223e+26	3.0663533026861674e+26	0	1.0221177675620558e+26	0	0	0	0	0
1.988406653256033e+33	2177114973.222388	136317.9029287646	66926340003.83314	0.0001179774630504383	3266978728.817515	4.4383617389471545e+26	3.328771304210366e+26	0	1.1095904347367886e+26	0	0	0	0	0
1.988406209419859e+33	2425560198.4712405	140050.79216318284	66856770003.93401	0.00012793726806074307	3639795633.8259435	4.80793331356753e+26	3.6059499851756476e+26	0	1.2019833283918825e+26	0	0	0	0	0
1.9884057286265277e+33	2695269023.4838142	143791.45730931585	66787200004.03489	0.00013846487548952537	4044520696.6398115	5.197753186179452e+26	3.898314889634589e+26	0	1.299438296544863e+26	0	0	0	0	0
1.988405208851209e+33	2987500484.144534	147539.92261580387	66717630004.13576	0.0001495784462741201	4483043226.507287	5.6083911114685956e+26	4.2062933336014465e+26	0	1.4020977778671489e+26	0	0	0	0	0
1.9884046480120979e+33	3303558508.248055	151296.21242838775	66648060004.23663	0.00016129634697136116	4957319897.477031	6.040419218835358e+26	4.530314414126519e+26	0	1.5101048047088395e+26	0	0	0	0	0
1.988404043970176e+33	3644792695.1959476	155060.35119029536	66578490004.3375	0.00017363715182528206	5469375918.411038	6.494412024554571e+26	4.870809018415928e+26	0	1.6236030061386428e+26	0	0	0	0	0
1.9884033945289735e+33	4012599107.086433	158832.36344262658	66508920004.43838	0.00018661964485565776	6021306220.093901	6.970946443993633e+26	5.228209832995224e+26	0	1.7427366109984082e+26	0	0	0	0	0
1.9884026974343292e+33	4408421071.356831	162612.27382474524	66439350004.53925	0.0002002628219676279	6615276659.678061	7.47060180390673e+26	5.602951352930048e+26	0	1.8676504509766825e+26	0	0	0	0	0
1.9884019503741487e+33	4833749995.138792	166400.1070746672	66369780004.64013	0.00021458589308258013	7253525242.705272	7.993959854775155e+26	5.995469891081366e+26	0	1.9984899636937887e+26	0	0	0	0	0
1.9884011509781633e+33	5290126191.490321	170195.8880294525	66300210004.74099	0.00022960828429053598	7938363362.950376	8.541604783223828e+26	6.406203587417871e+26	0	2.135401195805957e+26	0	0	0	0	0
1.988400296817685e+33	5779139717.669892	173999.64162559903	66230640004.84186	0.0002453496400242504	8672177060.33544	9.11412322449703e+26	6.835592418372772e+26	0	2.2785308061242574e+26	0	0	0	0	0
1.9883993854053626e+33	6302431225.6200695	177811.392899435	66161070004.94273	0.0002618298252552334	9457428297.165476	9.712104274991223e+26	7.284078206243417e+26	0	2.4280260687478057e+26	0	0	0	0	0
1.9883984141949352e+33	6861692824.83176	181631.16698751817	66091500005.04361	0.0002790689277119508	10296656252.94254	1.033613950486919e+27	7.752104628651893e+26	0	2.5840348762172975e+26	0	0	0	0	0
1.9883973805809847e+33	7458668957.760227	185458.98912703124	66021930005.144485	0.00029708726012038695	11192478638.014996	1.0986822970713992e+27	8.240117228035494e+26	0	2.746705742678498e+26	0	0	0	0	0
1.9883962818986876e+33	8095157287.968572	189294.88465618136	65952360005.24536	0.0003159053624672269	12147593026.32564	1.1664751228264088e+27	8.748563421198066e+26	0	2.916187807066022e+26	0	0	0	0	0
1.988395115423565e+33	8773009601.175701	193138.87901460138	65882790005.34623	0.00033554400428588226	13164778207.524258	1.2370523345206363e+27	9.277892508904771e+26	0	3.0926308363015907e+26	0	0	0	0	0
1.9883938783712305e+33	9494132719.387863	196990.9977437499	65813220005.44709	0.0003560241869655763	14246895558.713425	1.3104740914024312e+27	9.828555685518235e+26	0	3.276185228506078e+26	0	0	0	0	0
1.988392567897139e+33	10260489428.297083	200851.26648731713	65743650005.547966	0.00037736714608376047	15396890436.102602	1.3868008064933987e+27	1.040100604870049e+27	0	3.467002016233497e+26	0	0	0	0	0
1.9883911810963326e+33	11074099418.129711	204719.7109916288	65674080005.64884	0.00039959435376205765	16617793586.845444	1.4660931478851373e+27	1.099569860913853e+27	0	3.665232869712843e+26	0	0	0	0	0
1.9883897150031848e+33	11937040238.13301	208596.35710605237	65604510005.74972	0.0004227275210459969	17912722581.342396	1.5484120400447307e+27	1.161309030033548e+27	0	3.871030100111827e+26	0	0	0	0	0
1.9883881665911446e+33	12851448264.889593	212481.23078340627	65534940005.850586	0.0004467886003087826	19284883266.293324	1.6338186651258707e+27	1.225363998844403e+27	0	4.084546662814677e+26	0	0	0	0	0
1.9883865327724794e+33	13819519684.650911	216374.35808036668	65465370005.95146	0.00047179978767931485	20737571238.787155	1.7223744642851895e+27	1.291780848213892e+27	0	4.305936160712974e+26	0	0	0	0	0
1.9883848103980152e+33	14843511489.887037	220275.76515788207	65395800006.05233	0.0004977835254947674	22274173341.724483	1.8141411390081742e+27	1.3606058542561306e+27	0	4.5353528475204355e+26	0	0	0	0	0
