mass	pressure	temperature	radius	density	specificenergy	dm
1.925290970545566e+33	863.4681610448076	3420.929603833012	69500360360.36037	1.864544598063276e-09	694925894403.2327	0.0
1.925290970545566e+33	13871.00227192639	6848.721654193205	69430720720.72073	1.496128553972164e-08	1391245822692.8545	2.957529276540936e+22
1.9252909705159908e+33	70504.38986435672	10283.396820993657	69361081081.08109	5.064658282945092e-08	2088963983744.4624	1.2828095409013078e+23
1.9252909703877098e+33	223725.83399407854	13724.97585707321	69291441441.44145	1.2041348648487747e-07	2788084593279.152	3.457095032790643e+23
1.9252909700420003e+33	548406.9790371186	17173.47959852845	69221801801.8018	2.358931116796563e-07	3488611883930.9517	7.296750010534752e+23
1.9252909693123252e+33	1141764.4075938582	20628.928965043073	69152162162.16217	4.088560277236133e-07	4190550105313.736	1.3281840155624162e+24
1.9252909679841412e+33	2123801.699723351	24091.34496022519	69082522522.52252	6.512136610207562e-07	4893903524089.739	2.1894365919900419e+24
1.9252909657947046e+33	3637758.146984616	27560.748671938858	69012882882.88289	9.750197121463661e-07	5598676424036.909	3.361827227913509e+24
1.9252909624328775e+33	5850564.215039532	31037.161272643152	68943243243.24326	1.3924715871869787e-06	6304873106117.78	4.893945854434975e+24
1.9252909575389315e+33	8953303.84986158	34520.604019730854	68873603603.6036	1.9159118434877224e-06	7012497888548.275	6.834578823097601e+24
1.9252909507043525e+33	13161683.723894931	38011.098255861165	68803963963.96397	2.557829649951792e-06	7721555106865.296	9.232709898580881e+24
1.9252909414716427e+33	18716509.519867018	41508.66540931003	68734324324.32433	3.330862262043448e-06	8432049113997.885	1.2137521257258152e+25
1.9252909293341215e+33	25884169.351241916	45013.32699430103	68664684684.68469	4.2477965116375905e-06	9143984280334.445	1.55983944914964e+25
1.925290913735727e+33	34957124.41975723	48525.10461135892	68595045045.04505	5.321570311874462e-06	9857364993794.557	1.9664911619912502e+25
1.9252908940708153e+33	46254407.011753924	52044.01994764538	68525405405.40541	6.565274177163025e-06	10572195659897.174	2.4386856103347756e+25
1.925290869683959e+33	60122125.936535425	55570.094777310704	68455765765.76577	7.992152758495017e-06	11288480701832.084	2.9814213866845624e+25
1.9252908398697454e+33	76933979.51129419	59103.35096183687	68386126126.12613	9.61560639421822e-06	12006224560529.576	3.5997174327390033e+25
1.925290803872571e+33	97091776.19869292	62643.81045038961	68316486486.486496	1.1449192676431801e-05	12725431694731.988	4.298613142765207e+25
1.9252907608864395e+33	121025963.00453682	66191.49528016464	68246846846.846855	1.3506628033156405e-05	13446106581064.008	5.083168467551851e+25
1.925290710054755e+33	149196161.74458045	69746.42757674254	68177207207.207214	1.580178932644583e-05	14168253714104.781	5.958464018969041e+25
1.9252906504701148e+33	182091713.29086035	73308.62955443766	68107567567.56757	1.834871546659464e-05	14891877606458.807	6.929601175103582e+25
1.925290581174103e+33	220232229.9096473	76878.12351665572	68037927927.92793	2.1161609042613728e-05	15616982788828.525	8.001702186009868e+25
1.925290501157081e+33	264168155.80443943	80454.93185624549	67968288288.28829	2.4254837969129594e-05	16343573810085.83	9.179910280031818e+25
1.9252904093579783e+33	314481335.9792304	84039.07705585916	67898648648.64865	2.7642937149884683e-05	17071655237345.2	1.0469389770750562e+26
1.9252903046640807e+33	371785593.5385729	87630.58168830634	67829009009.00902	3.134061015799549e-05	17801231656035.67	1.1875326164495087e+26
1.925290185910819e+33	436727315.54295236	91229.46841691896	67759369369.36938	3.5362730933154244e-05	18532307669974.938	1.3402926268500388e+26
1.9252900518815562e+33	509986047.53907114	94835.75999590587	67689729729.72974	3.972434549592543e-05	19264887901441.35	1.5057418299598543e+26
1.9252899013073733e+33	592275096.886989	98449.47927072043	67620090090.090096	4.444067367933521e-05	19998976991248.68	1.68440519935915e+26
1.9252897328668535e+33	684342145.007006	102070.64917842066	67550450450.450455	4.952711087790737e-05	20734579598819.17	1.8768098715150737e+26
1.9252895451858663e+33	786969868.6714714	105699.29274803559	67480810810.810814	5.49992298143383e-05	21471700402258.035	2.0834851568374035e+26
1.9252893368373505e+33	900976570.4680979	109335.43310093273	67411171171.17118	6.0872782323985476e-05	22210344098428.08	2.304962550792906e+26
1.9252891063410953e+33	1027216818.5631022	112979.09345118454	67341531531.53154	6.716370115734653e-05	22950515403024.13	2.541775745078773e+26
1.925288852163521e+33	1166582095.8944647	116630.29710593868	67271891891.8919	7.388810180071899e-05	23692219050648.28	2.7944606388594248e+26
1.925288572717457e+33	1320001458.9271033	120289.0674657868	67202252252.25226	8.106228431521733e-05	24435459794884.766	3.063555350060622e+26
1.925288266361922e+33	1488442206.104055	123955.42802514051	67132612612.61262	8.870273519434967e-05	25180242408376.395	3.34960022673102e+26
1.925287931401899e+33	1672910556.1286514	127629.40237259935	67062972972.97298	9.68261292403136e-05	25926571682899.21	3.65313785845221e+26
1.9252875660881132e+33	1874452336.216108	131311.01419133207	66993333333.333336	0.00010544933145924509	26674452429440.074	3.974713087828665e+26
1.9252871686168044e+33	2094153680.452765	135000.28725944742	66923693693.6937	0.00011458939897556241	27423889478271.83	4.31487302201576e+26
1.9252867371295023e+33	2333141738.405461	138697.24545037767	66854054054.05406	0.00012426358296565185	28174887679031.35	4.674167044333867e+26
1.925286269712798e+33	2592585394.122952	142401.91273325158	66784414414.41442	0.0001344893306110364	28927451900795.215	5.053146825916371e+26
1.9252857643981155e+33	2873695995.6760116	146114.3131732808	66714774774.77478	0.00014528428707128553	29681587032158.24	5.452366337448315e+26
1.9252852191614818e+33	3177728095.382008	149834.47093213754	66645135135.13514	0.00015666629747680975	30437297981310.18	5.8723818609388965e+26
1.9252846319232956e+33	3505980200.8644676	153562.41026834247	66575495495.4955	0.00016865340894179414	31194589676114.566	6.313752001579602e+26
1.9252840005480954e+33	3859795537.097536	157298.15553764498	66505855855.855865	0.00018126387259742357	31953467064185.89	6.777037699639974e+26
1.9252833228443254e+33	4240562819.5903873	161041.7311934158	66436216216.216225	0.00019451614564566926	32713935112969.434	7.262802242454379e+26
1.9252825965641013e+33	4649717038.864852	164793.16178702822	66366576576.576584	0.00020842889343376716	33475998809818.598	7.771611276431345e+26
1.9252818194029738e+33	5088740256.386312	168552.47196825332	66296936936.93694	0.00022302099154968602	34239663162075.336	8.30403281916982e+26
1.925280988999692e+33	5559162412.105349	172319.68648564658	66227297297.2973	0.00023831152793871957	35004933197148.58	8.860637271594462e+26
1.925280102935965e+33	6062562143.774045	176094.8301869441	66157657657.65766	0.0002543198050414841	35771813962594.734	9.441997430189692e+26
1.925279158736222e+33	6600567618.199313	179877.92801945246	66088018018.01802	0.000271065341953479	36540310526196.96	1.0048688499260783e+27
1.9252781538673722e+33	7174857374.601619	183669.0050304483	66018378378.37839	0.0002885678766064938	37310427976046.24	1.0681288103292903e+27
1.925277085738562e+33	7787161180.24569	187468.08636757068	65948738738.73875	0.0003068473679720146	38082171420621.18	1.1340376299333662e+27
1.925275951700932e+33	8439260898.516648	191275.19727922406	65879099099.099106	0.00032592399828692946	38855545988869.72	1.2026535589478598e+27
1.925274749047373e+33	9132991369.612375	195090.36311497356	65809459459.459465	0.00034581817530168106	39630556830289.625	1.2740350933374845e+27
1.9252734750122798e+33	9870241304.030565	198913.6093259503	65739819819.819824	0.00036655053455117486	40407209115010.664	1.3482409760833307e+27
